epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,3850.97,1.34318,0.74202,1.20241,0.84931,0.80044,0.84525,0.4434,1.41296,0.68783,1.32822,6.54531e-05,6.54531e-05,6.54531e-05
91,3893.72,1.33826,0.68276,1.22227,0.83361,0.81174,0.83739,0.43882,1.4314,0.6888,1.34815,5.70564e-05,5.70564e-05,5.70564e-05
92,3934.46,1.31339,0.67105,1.20776,0.83033,0.80904,0.83534,0.4416,1.43017,0.68626,1.34449,4.94343e-05,4.94343e-05,4.94343e-05
93,3974.55,1.3234,0.67125,1.21252,0.82616,0.8041,0.82909,0.43789,1.42697,0.68873,1.33985,4.25941e-05,4.25941e-05,4.25941e-05
94,4013.27,1.32138,0.67459,1.2137,0.8369,0.80304,0.83239,0.43932,1.42773,0.68558,1.33979,3.65426e-05,3.65426e-05,3.65426e-05
95,4053.01,1.32227,0.66824,1.20168,0.83808,0.80842,0.83785,0.44171,1.42745,0.68324,1.33813,3.12859e-05,3.12859e-05,3.12859e-05
96,4092.27,1.33187,0.66733,1.21418,0.83922,0.81009,0.83905,0.44217,1.42332,0.67788,1.33492,2.68292e-05,2.68292e-05,2.68292e-05
97,4132.06,1.30785,0.66178,1.20524,0.84138,0.80982,0.83577,0.44363,1.41995,0.67646,1.33353,2.31767e-05,2.31767e-05,2.31767e-05
98,4171.29,1.31884,0.66725,1.20589,0.83973,0.8109,0.83755,0.44275,1.41997,0.67674,1.33267,2.03321e-05,2.03321e-05,2.03321e-05
99,4210.62,1.31688,0.67532,1.2199,0.83717,0.81123,0.83765,0.44418,1.41833,0.67666,1.33311,1.82983e-05,1.82983e-05,1.82983e-05
100,4249.62,1.30945,0.66079,1.20205,0.84157,0.80937,0.8382,0.44344,1.41926,0.6768,1.33317,1.70772e-05,1.70772e-05,1.70772e-05
